IDNAME_A|DATA1|DATA2|DATA3
A,118|-42.095828626|-36.7445009804|
A,621|-41.2327845056|-17.70314642|18.6633619905
A,008|23.9866028018|-18.8168021895|-9.05110039996
A,626|44.2059502353|6.21124600344|
A,187|-38.7506346336|48.0633123956|-34.4585141962
A,259|39.3776169547|4.29927292047|43.4372166044
A,835|-46.1366145997|-13.4846277246|31.671522457
A,600||26.4439700726|
A,675|-22.7720728174|-18.1652033191|23.2159947429
A,473|16.0833023855|-30.8212927753|-15.9339858078
A,694|-22.3366364602|13.4413971448|-34.6964182629
A,905|-36.5954317209|-9.82028764386|14.516007065
A,648|39.2661681556|8.92824559933|-40.8395488046
A,428|-29.0639034682|29.3698340792|-42.6867122685
A,265|-33.8808092267|41.8996587411|
A,922|26.1417111673|20.0883568321|-28.9499886546
A,480|4.07029570518|-6.18880657097|
A,504||-31.6870226658|
A,674||-9.47500320541|-13.0650001909
A,935|44.2268077703|49.8392403885|-6.67246033511
A,438|25.9565810622|13.6941478056|
A,476||-31.342897119|15.1333480587
A,282||-16.6580424314|
A,862|-35.0243016627|47.1155343543|
A,488|-47.2874484653|-15.0880804573|-33.8276773909
A,920|9.24543952195|42.7962448113|-47.3622378586
A,275|||-23.1447154221
A,102||-23.8972140874|38.0313977158
A,599|||-21.2867441097
A,511|47.4909105271|38.4900526824|30.2420730747
A,367|46.9519557648||
A,906|-29.2316722102|14.6616128517|12.3924365869
A,384|4.00782681997|41.3553234219|28.6553643705
A,342||34.1400100563|46.1721324507
A,953|9.79262348501|-34.6117439561|
A,425|-14.2402838012|-40.9413854378|-39.8443530845
A,063|34.6585543585|-22.0920046207|18.5413403501
A,104|35.2012784937|-9.4047178951|
A,873||38.589600799|-3.22561258948
A,225|-6.88782191755|19.3683362386|
A,773|-39.0877886147|-22.9662358295|34.7650113083
A,013|14.7276952774||-29.2227830174
A,937|||-45.1836019895
A,870|||
A,718|-45.2601891668|46.7001014269|36.5323334987
A,399|-42.0254877295|20.8534759338|
A,653|2.96875818305||-37.7509603256
A,866||-45.8027589662|-0.417657499282
A,970|46.7435865985|33.7025892649|4.2176454042
A,712|3.54027776338|2.41355801433|12.17117037
A,283||-42.3408910305|2.58411673835
A,020|16.6040721702|10.1438858347|-7.90051794579
A,548|43.5864961109|-44.8819793063|35.866812259
A,199|43.3116066433||17.3292130226
A,711|48.7770742537|24.102238213|
A,108|||0.200636434334
A,948|1.11860103461|-25.559924516|24.8037740146
A,447||24.4245389352|48.4063765517
A,156|-32.4380351799|-3.69086822359|-45.0545402586
A,732|35.7167398657|-2.8014925741|
A,306|-43.5695079374|42.8991898416|34.1345009509
A,560||-16.1647717384|35.5461832282
A,209|-31.3180532465||-48.4870940608
A,649|-29.6203504151||-4.42187227042
A,846|-0.995297998825|-30.5827991278|-19.930520051
A,371|-31.6053250474|-41.5263766738|-40.3595218515
A,852||5.90954256726|-25.2762333036
A,361|-6.2025970512|-32.002628381|42.7886602974
A,409|-42.6336721352|21.3177353998|
A,465||-34.4126662501|-17.192955356
A,256|-40.4591537892||-6.6032045603
A,605|32.5791803336||
A,045|44.0432283269|-45.2972385984|-42.1596519893
A,356|-7.40744455502|28.2698254927|44.8134027461
A,636|44.5682098062||48.3487555616
A,957|-44.1863781372|-49.1448683107|
A,212|38.9833059071||-18.3664860913
A,804|-11.8221824146|-1.96131307402|21.2193329132
A,228|3.0661115557|10.420350934|39.6960994366
A,151|-37.1764827912|-28.7250619482|45.7113703748
A,107||41.8848645414|-29.1832682367
A,184||23.6874996951|-22.7999916732
A,281|17.4919939546|-7.26755871282|-31.9332749505
A,449|32.1494919411||-35.4267608449
A,500|-12.0275766253|49.6618645683|-33.4400527041
A,769|-30.9583699716||17.2923306857
A,743|-21.807866158|47.5333456555|-25.0474214597
A,294||8.99441867219|-13.878618277
A,604||-39.6121493515|6.70355058437
A,676|49.820986081|-42.705598229|42.5971641434
A,058||-37.7473270278|14.9724995313
A,955|-28.8268532071|-29.9189235225|
A,739||43.2550780413|-20.3165167571
A,340|-20.5185101431|6.83691575212|30.0513747503
A,670|-23.3355824351|-12.8071821806|9.42812390666
A,103|-9.43831267167|18.2121217623|5.52422431747
A,721|31.1738021741||29.9998610537
A,320||20.5826978463|
A,276|||5.83033669996
A,543|14.3618517453|5.93482084285|3.63237101374
A,237|-5.40314931033|23.136623259|
A,226|-44.1550175711|37.4442478037|27.3028329444
A,147|-36.5868014641||-42.1963929756
A,602|-15.8822573078|45.1348601954|-6.62015665168
A,713|-29.451751955|-11.9521997395|-17.530297523
A,119|-1.13691834359|-16.5384439945|43.053424297
A,748|11.3951957453||-3.13070286477
A,182||41.8441933557|-43.3086202301
A,267|-22.2563049185|-23.5489924232|20.3877378563
A,417|47.6186016906|-17.7226524943|49.8198777786
A,112|1.27476342552||-39.4580789859
A,882|32.3936396024||-29.2360503626
A,335|-29.6568310958|-3.16078240084|
A,032|12.5297475249|-27.284343377|47.8247049724
A,405|17.9989689297|-9.46939388141|
A,223||15.5873823122|-47.9140206501
A,724|-44.3387084943||-5.06869890172
A,735|-36.1181933554|4.67497437384|
A,115|46.5821928474|25.9030810595|-13.25320378
A,096|29.2525592164|28.8096860263|-7.27395572456
A,688|25.7625611989|4.0730861507|-43.0075615783
A,611|7.72563057953|35.2518763705|40.0309668585
A,198|||-47.1484480224
A,066|-18.1274011073|-43.4069388023|37.5341600207
A,072|10.9622846327|6.74008000314|-14.9989327571
A,815||-18.5081932139|21.8660379211
A,550|42.5192729509|21.8260723685|-36.45076918
A,049|3.0465572121|49.680959361|
A,516|-40.167941371|16.2044180593|43.7919481846
A,065|-2.50334061597||-15.6183117211
A,593||-32.8369784449|26.3948097241
A,872|-39.6778816467|39.6795392193|12.2810515177
A,246||43.6564033634|-46.0615978573
A,902|31.7428561413|14.8844974513|25.0547361688
A,715|49.418966288||1.22979286336
A,515|5.34448806599||-33.850223946
A,643|-49.1475324144|19.8454053157|40.7205317585
A,999|-15.1048968231|-33.2849030817|
A,249|24.5983061775|-14.8404506366|-39.3803336061
A,751|-19.2194418124|33.6249679177|16.0327445699
A,692|-47.3322010607||-17.7877129106
A,231|-15.152625295|0.529253327064|-3.67519260458
A,157|-10.227876225|-12.5021933732|10.8585299947
A,330|-6.91788027497|-20.2008734914|23.2678251641
A,717|3.79507786504|-7.12547246801|-2.92914280263
A,245|37.0822528537|-28.793104817|28.1507313528
A,079|37.2354185238||12.9608100949
A,128|48.9759563822|-19.7693932058|29.4616047243
A,839|-43.5929955285|14.7776217439|37.2313538157
A,894||10.5774690469|38.857028201
A,116|20.7271813438|0.645136950057|45.2761585193
A,372|-44.302287938|41.9417505732|46.5429728599
A,044||44.2576060618|13.2668810569
A,983|2.41499437249|-36.3116822493|-13.9178501631
A,172||32.3326039876|14.6353827304
A,064|23.0914052779|11.791283401|49.2000319921
A,741|9.11376634882|8.08273441455|-9.63812238421
A,101|26.8073711672|11.3026817659|-2.42590811721
A,934|||3.22098146761
A,181||4.07442519885|42.8650488879
A,537|3.89923036645|-8.81503158355|-4.10770750926
A,279|45.5913250797|-45.85269081|-0.159573563886
A,569|17.9036557001|31.6826008897|46.8505219753
A,424|-8.95499520614|-42.0582603484|-24.6836319592
A,007|49.6669070407|-42.6420362193|41.0153919374
A,901|16.1265661547|24.5122890572|-43.4332862431
A,468|32.1299527471|-18.4572204368|-15.3012221067
A,762|-49.7259354805||-33.0701176538
A,421|11.041683134|32.4978855719|9.23750459248
A,415|-24.2538145421|34.3254839945|-7.59274680829
A,215|-33.1769540911||-15.0168592554
A,744|-47.8904793276|-12.3649100205|25.0758615956
A,759|25.6549822548|31.9235821156|-40.4245047231
A,053|21.3695836497|23.2925981164|26.9718466243
A,618|-17.0652417789|30.5203677171|
A,332|36.9991982661|20.8258605808|18.1687649263
A,304|-5.22252043588|-28.2966706732|-9.68330342264
A,535|2.79597109644|10.0186927187|34.8102043629
A,997|-0.759008618065||
A,941|8.99611861982|25.513825496|19.5290331942
A,757|-8.30429889464|43.3520704483|
A,015|-41.295722253|-20.6689047837|
A,456|-21.7340553132||15.1817854904
A,360|-17.8819384077||17.4120195753
A,470|-40.048796013|-30.6703571037|-32.4554074192
A,918|-26.7334345515|35.6625290704|-22.1169646796
A,047||-1.69887140575|39.3025886431
A,394|2.33165578461||44.4532993093
A,994|-7.62756450973|18.8403199512|
A,722||-18.0685726671|
A,002|||-47.1450462615
A,146|-23.9717335728|45.5345728595|-28.945272708
A,293||-34.4544065741|-48.3760012613
A,632|18.399255042|-41.5703516534|1.57936934689
A,673|29.8671733698||
A,383|26.8782112028|14.5186253177|
A,523|||
A,262|42.2086040663|26.0589499971|-43.5594405192
A,039|-10.5893135341|26.9342861257|29.1126247857
A,004|46.0609454384|-6.57802013324|18.2236526242
A,189|-31.8038166388|10.9107239013|-49.7764805578
A,123|3.85774424698|0.872417456663|42.6546122474
A,203|34.9335302492||38.458299811
A,814|6.93300347|-37.6977269487|-43.87205595
A,701|-20.2534215395|12.5554426286|-42.0977925459
A,358|-33.7895207351|-37.8595068937|
A,629|2.06432390281||-13.5456377003
A,432|-19.7480829819|-19.5018404898|-16.3682035914
A,868|28.202373063|44.6559415364|23.8908438383
A,023||11.7198152884|25.6861665081
A,733|3.02899160661||18.1055378266
A,370||18.2535048659|-21.3578408222
A,907|-8.71748883351|3.18379464063|5.75748098464
A,651|21.0524542074|-10.9227383828|
A,158||-44.2128697177|5.77064100935
A,469|21.5816746329|-12.2350039033|-25.0888688502
A,397|-27.2873264487||-46.4298256073
A,117|||28.2151059293
A,097||-44.7293216179|1.93651770206
A,729|||-33.9604514245
A,671|-33.9312341815||
A,312|18.8105060967|37.4513485146|16.5811638796
A,244||-38.2716617847|15.7603160164
A,747|||-3.49758376978
A,706|38.3100374379||-26.0116769696
A,349|-48.2177258284||-24.5309689404
A,886||-30.6106776599|39.6292139849
A,917|||-46.2334660909
A,726|-1.41094570899|-18.5544446501|
A,903|38.6195705105|15.2198925851|-1.33256923034
A,693|-42.6228586361|-16.2547408768|7.84303741294
A,801|-18.8916107887|46.5729500661|20.5892533062
A,738|28.1497256216|12.5147277311|33.5934979806
A,785|-42.9980999423|1.56205506896|-49.6894734071
A,350|15.763070205|-31.9890508722|-31.9734995238
A,761|6.46477108877|-14.8213970795|
A,582|8.20346253231|5.16564308686|30.1065412866
A,579|-33.6906214348||37.7270348457
A,082|-40.1354112338|-49.39084225|23.170796594
A,201|40.6843074851|-24.9526867445|41.6992470924
A,048|17.4522665842|22.9550168355|
A,134|-24.5924302345||37.5964354025
A,124|-20.059600582|-4.40622915968|-19.0302609642
A,166|||23.7791085871
A,414|-44.6883745213|-11.5641629546|36.5076005698
A,150|-33.0593434439|-44.0198387234|6.78590358258
A,022|32.8290438719|21.4534258149|2.80808427471
A,090|17.2427764801|-14.1789367168|
A,834|-28.3939937006|22.5290362719|-37.2392461772
A,211|33.0989847466|-34.942563238|-3.80929921197
A,932|-13.5952277394||49.1586957761
A,274|-46.3348646056||-18.3053771797
A,938|-23.78504493|28.202344537|29.3259992492
A,038||30.3321279546|-17.8883891588
A,060|0.428948390924|38.3834908826|29.6924302706
A,683||-47.4504084333|
A,446|||
A,083|-7.59205126927||13.5453826066
A,640|21.3958327817|-33.1465189926|
A,149|22.7276940556|-5.50838524985|
A,982|||-25.3822615657
A,884|||
A,685|-48.3014979515|44.0018199877|-20.6540973393
A,208|-16.7344817038|-31.8780134096|-13.0515750371
A,126|||18.1068601717
A,301|-12.3949986724|17.5020547616|29.4209638468
A,628|-32.0289154425||3.96485710726
A,794|23.3632851261|43.8824398095|19.5386807004
A,961|-21.2185735362|38.2059771683|-16.4921185926
A,531|-19.2413397025|17.7387545437|
A,264|-12.4932609|-23.8504889598|2.09208144136
A,133|32.054843622|27.642659014|39.4305357414
A,755|11.0030431665||
A,176|20.4833158654||37.2536232012
A,989||34.2657710258|
A,221|-9.9492093077|-9.08365596244|41.392558754
A,161|-33.2106270998|48.4433597419|-18.4598695384
A,919|13.1794024812||1.92884545396
A,668|-42.467552099|10.7844045236|-39.4333943705
A,974|-7.93645428047||21.1118533336
A,114|-14.5104906393||
A,782|-29.8884506432|-49.0816032879|45.941980319
A,268|-47.8314529897|-46.8371701401|
A,179|9.40790736779|32.8790566232|-6.98198006593
A,336|-39.706989683|25.0786431848|-14.3141771747
A,205|-33.4594806878|-40.5343650495|15.2170442979
A,110|||30.8816127567
A,219|49.1230356917|14.4079429837|48.9156049559
A,300|43.9456632591|24.6331121932|
A,888|-43.0714402396|-3.27607726598|
A,587||34.7504582412|-39.2583135429
A,026|-29.2230928878|23.4085649003|43.6305373807
A,555|-40.6537043377|34.4248637965|21.9171618275
A,988|-12.4508026199|34.706858971|-2.46205819084
A,385|-5.77567266708|-41.5642799098|-18.7803355429
A,661|-1.12446926208||-43.2921764064
A,402|26.2326572633|38.6216130605|
A,273|33.7496483303|-41.3098721517|-31.2155706436
A,538|||47.956514968
A,837|-36.7346496709|10.9503975199|31.354185883
A,331||-17.2264456055|-2.68625533089
A,869|-3.15362757907|35.7647234416|-24.3902132955
A,568|-16.0052989358|0.0450295334076|12.3490816434
A,217||38.2037953668|
A,484|32.2325803452|-17.0503494203|-34.0124036895
A,942|-4.50013046657||10.4389334807
A,139|-14.2212488398|20.2878014167|19.8044581532
A,307||-15.1638348758|8.80171671079
A,860|-43.0639698068||-9.73456918707
A,461|8.57506906364|43.3726315252|7.74006971706
A,284|||
A,812|-33.3754064193|13.3133532522|
A,665||-26.7344765046|38.8054545746
A,681|37.8092347252|-8.97630495418|29.1534828986
A,820||-7.94462664407|
A,539||-48.2213259249|19.8761799411
A,490|-5.33920780125|-10.6032743912|-34.4616480012
A,408|38.283712529|47.4571271865|26.2842660683
A,546|-26.2010950655|6.78358783721|1.8026840584
A,483|26.5689225403||-20.8505121093
A,853|25.0488513977|-34.5323839306|-24.3284306398
A,966|-3.42916332383|39.4273344092|37.075529323
A,687|34.3297056792|-26.7850789028|-16.5558470619
A,261|-10.3581464123||36.5100407985
A,730|-48.4193232378|45.1346668592|41.1195581592
A,141|-3.50626473913|46.8081076539|14.908600381
A,624|15.5514158125|43.5774344203|24.2330742991
A,965|34.1196734774|-5.72209907208|49.0781189915
A,291|31.1587328983|16.1759726178|-19.7993206592
A,789|-31.9705089436|11.6117551093|
A,493||42.5794304214|45.9648400801
A,434|-40.3423799266|46.5026575456|20.2572631121
A,341||-29.9187026015|16.2679947091
A,892|13.3102546055||
A,352|-1.98563973629|-49.795760766|-8.20348181623
A,861|-23.2523939548|12.740977893|-41.332672174
A,080|-3.01916519993||-14.9160381489
A,213|-35.4614257539|-2.16673765731|-17.5817877162
A,393|-19.2951030456|23.5866063057|36.0360566298
A,556|-47.312953493|-9.18809055268|5.41348612387
A,062|20.5668243325|-32.283542714|-46.1235737523
A,206|-46.8483958687|-19.0731381233|21.1143670144
A,899|18.8614213691|-15.2244595314|-3.02718690093
A,057||-7.54027369594|29.3534747647
A,752|-15.042325599|-30.3804717846|-18.4328791333
A,168|-14.4387029181|-28.6210630777|
A,677|1.34296708182|-46.6754931276|15.1153989484
A,896|-16.5924384809||23.176452599
A,234|45.0785906722||-37.8800966943
A,876||-24.8004305152|38.3069516645
A,750|37.5156428867|44.837491548|5.81577252843
A,412|20.7908895472|7.0443732466|35.1463139735
A,962||7.77139822957|
A,290|37.7700712381|20.3076921915|-25.6080742628
A,368|17.2404041697|18.2365489387|8.52583086193
A,125|-17.9253032832|20.908288675|
A,239|24.9198382859|-20.9108157321|
A,758|-25.5877581414|-47.9466932327|
A,171|-46.6754387864|47.0967444151|-15.7426425731
A,174|-41.8216837967|-47.0487351518|15.4980129771
A,879|-20.6885027533||-16.9826672558
A,947|44.692177689|37.2447396447|29.5670654669
A,481|8.37596621249|-44.730425122|
A,848|16.7938101011||-43.4991523272
A,754||-1.7609799951|-42.7374811933
A,823|31.5891190236|26.6977434381|18.632987957
A,704|||
A,413|21.2088220055|-5.02515658318|-30.0975911148
A,297|-17.6484767333|-33.156115198|6.55319405287
A,369||-39.170776955|2.50885024649
A,788|-30.4291279764|0.947821624337|28.7272884864
A,193|6.28651569205||-27.5718843982
A,576|28.4452737133|-47.9978727821|10.5557085353
A,770|-1.50767318181|-19.2470181656|-46.7551445775
A,288||-17.400321311|34.4863631349
A,255|10.7353339983|-8.70436075465|-19.6305254461
A,407|-20.6626359545|2.00068698507|
A,437|-35.0563708516|-35.7753162313|-45.8357900016
A,833|-37.3092282638|-36.8563908359|
A,410|7.70925325056|30.1765515801|-0.640900565615
A,956|-37.5050989938|1.86696465897|
A,992|11.8924928288||47.5812907413
A,944|-25.3944540018|-27.0820881775|27.9557650168
A,603|22.3524382166|-21.8657921505|-40.1186952273
A,533|3.8895074548|-2.66768479124|24.4373088382
A,720|-33.408794604|19.9472123783|-0.186585555036
A,617|32.2353309698|14.1205452048|22.1083425187
A,960|-36.9701157799||25.9384326101
A,035||8.98465620283|15.5086046927
A,508|-13.0340407169|29.7849623147|2.58916319788
A,185|16.6814256324|41.1998880586|-7.22737177072
A,767|-16.164825832|32.0308107564|46.5102258239
A,536|31.6859110248|-41.7425894199|42.9961667744
A,127||-26.7808297944|-10.5279788511
A,111|-23.2236951618|44.0962283047|27.2391642042
A,867|34.855751557|-32.6220226811|
A,864|41.5748557718|-8.56364352712|
A,207|-46.5726466648|49.2543243961|-42.7370763951
A,645|42.8909583522|11.771670536|-28.678992387
A,930|-25.4797890842|-25.0559742623|-48.1674319757
A,068|32.9340828824|-46.2165934365|
A,736|41.5692220994|37.2665089933|5.89861161965
A,561|-49.002009752||47.3797390037
A,429|-38.3464489213|0.531007797168|-8.84964458462
A,589|-29.2831274757|-18.4947926527|-48.6283407108
A,055||30.1952569415|37.905581848
A,222|-23.4784295741||-27.1786654672
A,186|-7.22189847324|34.8781611803|-15.7178502255
A,395||35.1857626146|
A,315|23.217601093|2.08543049922|28.4160331688
A,705|-38.5223363884|-48.4735325409|21.2586254272
A,122|-8.74494815046||45.0919930473
A,382|7.41501308107|-11.9363760786|16.3406957792
A,544|39.1211497296|35.8779023455|
A,874|-16.2675040035|3.48858336937|-42.9980499046
A,684|37.4286746322|-2.55142533411|0.752072046343
A,005|39.6855317446|9.59473530158|-39.6906312064
A,946|-29.5151807781|-10.4006804343|47.2590737318
A,019||-2.34083461276|47.9870151131
A,552|-26.0683811902|40.821110082|
A,396|-33.3093550665|34.770808004|0.442145717184
A,979|-47.2568888516|-25.0442073205|15.5702890044
A,826|-40.856455291|35.6178810375|
A,381|12.2057796328||-15.0755743541
A,978|-22.9500428155|27.352174121|20.6912673781
A,716||-25.3041151685|-23.0486885829
A,227|25.7566084124||23.4811376063
A,635|17.7603947021|-28.6094313514|
A,503|44.0410240502|-3.77689433441|-14.5162330954
A,309|13.0694361804|25.679000209|20.47903572
A,498|-22.2043469928||27.8425129325
A,144|-47.6840073648|2.13723162248|
A,051|-44.5907741676|-30.7151543677|-43.7730177181
A,581|-9.6614017014|46.8855592738|-36.1818370518
A,163|15.7750297056|-34.4723315263|-1.42243736805
A,631||32.5624659168|45.0081845985
A,972|-28.6431816679|-47.4159710502|26.6544227427
A,749|-33.8497769789|-0.238810840002|27.436182348
A,996|-17.5055516732|10.919469859|-28.568271469
A,422|10.9123668329|-43.0714297158|
A,376||49.4564428392|-48.6443958778
A,092|36.0831318057||43.5180583836
A,594|29.0761887359|-10.2077683995|1.72302681252
A,753|-49.625850076||17.7182775748
A,054|-2.53403016087|10.1327116567|
A,877|-42.5150547279|4.62815368471|
A,153|0.0455725490932|-14.7427213468|
A,633|-22.7628429089||-16.4879073479
A,625|43.253401667||18.5944598195
A,514||-41.6582204229|-4.7794990648
A,253|43.4018650028|-27.3820862887|-23.1176279791
A,656||1.18553649692|45.2558917096
A,479|3.66146839757||-25.5466563627
A,663|36.0226313528|-40.1355433511|6.73088426156
A,046|-42.0042921059|-49.6544847745|29.1905516732
A,071||-4.88020198394|-22.4581241503
A,145|2.84323855307||-37.6774615185
A,795|-13.5524293409|7.62842472107|
A,792||-27.7018913724|
A,513|-34.6223452339|48.2812360584|-34.3016634637
A,175||1.02828865419|2.19940594031
A,445|22.9414208579|15.9954207786|-36.2058123125
A,825||49.9961885368|
A,404|2.98904469323|-5.21600958946|15.1452464226
A,634|-4.97333211815|25.1666053006|9.87308653101
A,995|3.74463532521||9.24798571319
A,132||-32.7491396093|
A,416|15.3833658502|44.4343077399|-7.15878892621
A,740|-38.6185127655|19.7001706866|
A,285|6.2505127146|-42.8816197075|-41.5528233152
A,131||-22.6785789273|16.4513976435
A,135||17.2065317042|36.1935968937
A,325|-29.2434712186|-27.9916226245|20.8639484102
A,324|||16.2073621589
A,875|17.7886402341|-26.0493178345|35.193161181
A,664|-39.4743929743|31.4843685679|20.7742539721
A,840|-38.250427313|19.9642350938|-24.5104748501
A,911|36.7577202502|-48.7368229884|32.2386512431
A,998||31.451861636|35.7062107856
A,496||-9.83958764155|-1.8152817619
A,194|-20.6135544427||-36.7691290219
A,316|8.22747404396|49.7402123238|21.388791436
A,929|-15.3418548722||-24.1106746993
A,797|35.8068263863|-37.2173819511|5.53598762777
A,800|25.5012443414|-27.3454573206|43.7699420817
A,838|-25.0412343839|21.3874449514|40.1822362074
A,984|-39.7520142361|28.5501726363|-1.47831830159
A,667|-17.624913829|-38.0324051714|-14.6404684352
A,601|-11.7061702745|15.172400502|
A,322|34.1720798512|-1.21520161205|
A,329|-12.0601392524|19.1536438252|-43.6038788295
A,436|16.2576295839|31.3060939121|-42.6362161122
A,491|-29.2175103434|40.6536659674|40.6211456437
A,910||-45.7441519228|-40.0522800286
A,818|-31.2787419765|20.6061104307|6.60731422936
A,923||-31.6684289535|39.8859902079
A,510|36.5910273897|34.2898072853|16.9281912284
A,190|-38.5946798801|-30.9264775518|
A,771|33.4441499806|-38.8286313778|-14.3864113546
A,699|-24.1866914557|-47.9935682419|
A,850|-43.2315787402|-22.1432957624|
A,578|-47.5820391105||35.7002695667
A,977|1.80286036816|32.5136894963|-25.4637806855
A,518|-21.6713130176|-29.6542782681|-9.04514949416
A,570|19.1649802845|23.6295490595|0.571035329061
A,914|2.65267703302|-43.1487094636|-7.19580605375
A,286||-48.2326089882|27.3485393569
A,921||-7.23080943951|10.3979431537
A,608|13.0737336141|10.9198348776|17.9007370951
A,583|17.4820975543|-29.1906327617|-28.3550943694
A,786|17.4901118039||-13.0749903865
A,811|||
A,435|5.84037948326|42.71748532|31.9936076848
A,768|-9.8102452856||-38.5337358733
A,078|-21.0904641022|-46.6088803542|
A,159|||-21.0932193777
A,844|-1.97574812248|-36.8165295134|-36.015825231
A,431|-24.3957917387|32.6492148224|-0.908276799482
A,534|30.5263413331||25.3411907601
A,638|-8.75069050203|38.3167599209|
A,014|28.0682210645|-18.7639251071|22.3930642719
A,088|-25.1301114672||
A,777||22.9736234444|-8.47522564061
A,305|30.4356319634|-43.8278750035|23.8512248551
A,455|14.2756580104||-15.5720367346
A,310|35.0987918755|-14.0707510458|-5.4546940737
A,247|16.7367308328|18.8912995249|
A,596|-27.5070019419|-34.2500539892|8.50049467227
A,482|33.3386070536||-13.0239339336
A,572|18.1778333457|31.5129220143|-30.8943300458
A,790|-36.7078385269|-7.44424707125|-38.9051932123
A,095|29.7795060164||
A,756||45.6080033706|
A,985|-41.9703180928|-24.8493929291|-33.892743809
A,810|-8.23397904724|-0.275236029959|-10.248416781
A,802|35.3365444486|-23.8644492708|20.2122762379
A,775||-16.4737695124|
A,829|9.80900011203|-27.1416919482|
A,093|-42.261403539|43.5204624674|3.45289996565
A,052||-7.74543316877|44.4463263158
A,299|-19.2542117186|22.4792739536|-46.4851162311
A,077|-14.5895619493|3.8981018278|-21.9592278216
A,204|-35.6772210459|12.2206527508|-24.9513897989
A,512|-48.7116070954|39.1844834052|23.7137693744
A,308|-9.44695306731|-2.87630436849|-16.1183213686
A,507|13.5468030885|35.4958175905|
A,169|37.9429976422|3.22029686227|-8.3762318205
A,248|17.200402816|42.8276038221|16.6020973904
A,843|-48.1719365353|-14.0528308991|22.9342818996
A,765|-15.8352174658|15.4042626133|-29.2387243307
A,565|-34.032864302|-5.22098998696|-44.6981157239
A,188|28.685046651|49.6604159568|
A,160|-44.365393867|33.5215809714|-6.22225342823
A,630||16.5961017077|12.7731532833
A,927|||-14.374443402
A,059|28.1783545508|-24.2030816662|11.6499215356
A,986||47.6639096594|
A,545|-14.3713013376|16.8336675252|-25.1682761179
A,030|29.8614243841|41.9450482899|-18.9616432894
A,327|-36.9275134312|-45.8670273898|-46.7080077001
A,453|9.81138409723|-27.5657002012|30.8188819683
A,541|-40.6808195978|-10.895207407|12.6175262113
